Validator,PT_VERSION,2.12.0
Validator,HIP_VERSION,714
Validator,HIPBLASLT_VERSION,100401-cd957402
Validator,GCN_ARCH_NAME,gfx1030
Validator,ROCBLAS_VERSION,5.5.0.cd957402
GemmTunableOp_Half_TN,tn_2560_852_160_ld_160_160_2560,Default,0.045997
GemmTunableOp_Half_NN,nn_1_852_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0172646
GemmTunableOp_Half_TN,tn_10240_852_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326045,1.79746
GemmTunableOp_Half_TN,tn_2560_852_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326268,0.411724
GemmTunableOp_Half_TN,tn_3584_852_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326077,0.771073
GemmTunableOp_Half_TN,tn_640_852_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326077,0.157698
GemmTunableOp_Half_TN,tn_320_852_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326128,0.412488
GemmTunableOp_Half_TN,tn_336_568_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326082,0.237231
GemmTunableOp_Half_TN,tn_10240_568_320_ld_320_320_10240,Default,0.187543
GemmTunableOp_Half_TN,tn_4096_568_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326077,0.603291
GemmTunableOp_Half_TN,tn_24_568_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326200,0.0341294
GemmTunableOp_Half_TN,tn_2560_568_1536_ld_1536_1536_2560,Default,0.220147
GemmTunableOp_Half_TN,tn_512_568_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326127,0.102493
GemmTunableOp_Half_TN,tn_320_568_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326129,0.0797215
GemmTunableOp_Half_TN,tn_2560_568_160_ld_160_160_2560,Gemm_Rocblas_-1086326086,0.0346457
GemmTunableOp_Half_NN,nn_1_568_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0148746
GemmTunableOp_Half_TN,tn_10240_568_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326268,1.48315
GemmTunableOp_Half_TN,tn_2560_568_2560_ld_2560_2560_2560,Default,0.380183
GemmTunableOp_Half_TN,tn_3584_568_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326077,0.515101
GemmTunableOp_Half_TN,tn_640_568_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326128,0.132291
GemmTunableOp_Half_TN,tn_320_568_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326082,0.241226
GemmTunableOp_Half_TN,tn_336_940_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326082,0.426314
GemmTunableOp_Half_TN,tn_10240_940_320_ld_320_320_10240,Default,0.284063
GemmTunableOp_Half_TN,tn_4096_940_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326063,0.922044
GemmTunableOp_Half_TN,tn_24_940_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326211,0.0446078
GemmTunableOp_Half_TN,tn_2560_940_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326277,0.318293
GemmTunableOp_Half_TN,tn_512_940_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326045,0.142784
GemmTunableOp_Half_TN,tn_320_940_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326128,0.123119
GemmTunableOp_Half_TN,tn_2560_940_160_ld_160_160_2560,Default,0.0483835
GemmTunableOp_Half_NN,nn_1_940_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0192458
GemmTunableOp_Half_TN,tn_10240_940_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326047,2.1522
GemmTunableOp_Half_TN,tn_2560_940_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326277,0.626061
GemmTunableOp_Half_TN,tn_3584_940_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326079,0.870616
GemmTunableOp_Half_TN,tn_640_940_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326082,0.200019
GemmTunableOp_Half_TN,tn_320_940_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326082,0.434926
GemmTunableOp_Half_TN,tn_336_1724_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326082,0.758755
GemmTunableOp_Half_TN,tn_10240_1724_320_ld_320_320_10240,Default,0.506626
GemmTunableOp_Half_TN,tn_4096_1724_2560_ld_2560_2560_4096,Default,1.58545
GemmTunableOp_Half_TN,tn_24_1724_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326139,0.0536168
GemmTunableOp_Half_TN,tn_2560_1724_1536_ld_1536_1536_2560,Default,0.594698
GemmTunableOp_Half_TN,tn_512_1724_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326063,0.251226
GemmTunableOp_Half_TN,tn_320_1724_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326122,0.195949
GemmTunableOp_Half_TN,tn_2560_1724_160_ld_160_160_2560,Default,0.070789
GemmTunableOp_Half_NN,nn_1_1724_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.029426
GemmTunableOp_Half_TN,tn_10240_1724_2560_ld_2560_2560_10240,Default,3.8306
GemmTunableOp_Half_TN,tn_2560_1724_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326079,0.968385
GemmTunableOp_Half_TN,tn_3584_1724_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326063,1.42152
GemmTunableOp_Half_TN,tn_640_1724_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326079,0.275244
GemmTunableOp_Half_TN,tn_320_1724_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326108,0.734381
GemmTunableOp_Half_TN,tn_336_1124_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326084,0.484253
GemmTunableOp_Half_TN,tn_10240_1124_320_ld_320_320_10240,Gemm_Rocblas_-1086326295,0.34476
GemmTunableOp_Half_TN,tn_4096_1124_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326061,1.09701
