Validator,PT_VERSION,2.12.0
Validator,HIP_VERSION,714
Validator,HIPBLASLT_VERSION,100401-cd957402
Validator,GCN_ARCH_NAME,gfx1030
Validator,ROCBLAS_VERSION,5.5.0.cd957402
GemmTunableOp_Half_TN,tn_10240_84_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326045,0.348253
GemmTunableOp_Half_TN,tn_2560_84_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326084,0.124502
GemmTunableOp_Half_TN,tn_3584_84_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326062,0.149824
GemmTunableOp_Half_TN,tn_640_84_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326139,0.051752
GemmTunableOp_Half_TN,tn_320_84_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326129,0.118613
GemmTunableOp_Half_TN,tn_336_1388_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326110,0.527548
GemmTunableOp_Half_TN,tn_10240_1388_320_ld_320_320_10240,Gemm_Rocblas_-1086326295,0.362066
GemmTunableOp_Half_TN,tn_4096_1388_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326277,1.30965
GemmTunableOp_Half_TN,tn_24_1388_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326202,0.0515612
GemmTunableOp_Half_TN,tn_2560_1388_1536_ld_1536_1536_2560,Default,0.463691
GemmTunableOp_Half_TN,tn_512_1388_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326044,0.198299
GemmTunableOp_Half_TN,tn_320_1388_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326046,0.13598
GemmTunableOp_Half_TN,tn_2560_1388_160_ld_160_160_2560,Gemm_Rocblas_-1086326068,0.0666663
GemmTunableOp_Half_NN,nn_1_1388_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0292917
GemmTunableOp_Half_TN,tn_10240_1388_2560_ld_2560_2560_10240,Default,2.99226
GemmTunableOp_Half_TN,tn_2560_1388_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326061,0.872797
GemmTunableOp_Half_TN,tn_3584_1388_2560_ld_2560_2560_3584,Default,1.02165
GemmTunableOp_Half_TN,tn_640_1388_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326079,0.253309
GemmTunableOp_Half_TN,tn_320_1388_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326110,0.560876
GemmTunableOp_Half_TN,tn_336_824_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326128,0.411828
GemmTunableOp_Half_TN,tn_10240_824_320_ld_320_320_10240,Default,0.219544
GemmTunableOp_Half_TN,tn_4096_824_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326061,0.798465
GemmTunableOp_Half_TN,tn_24_824_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326202,0.0385226
