Validator,PT_VERSION,2.12.0
Validator,HIP_VERSION,714
Validator,HIPBLASLT_VERSION,100401-cd957402
Validator,GCN_ARCH_NAME,gfx1030
Validator,ROCBLAS_VERSION,5.5.0.cd957402
GemmTunableOp_Half_TN,tn_10240_660_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326252,1.58085
GemmTunableOp_Half_TN,tn_2560_660_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326252,0.463208
GemmTunableOp_Half_TN,tn_3584_660_2560_ld_2560_2560_3584,Default,0.595738
GemmTunableOp_Half_TN,tn_640_660_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326271,0.144059
GemmTunableOp_Half_TN,tn_320_660_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326271,0.262697
GemmTunableOp_Half_TN,tn_336_732_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326271,0.283626
GemmTunableOp_Half_TN,tn_10240_732_320_ld_320_320_10240,Default,0.210133
GemmTunableOp_Half_TN,tn_4096_732_2560_ld_2560_2560_4096,Default,0.706707
GemmTunableOp_Half_TN,tn_24_732_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326394,0.0385989
GemmTunableOp_Half_TN,tn_2560_732_1536_ld_1536_1536_2560,Default,0.239753
GemmTunableOp_Half_TN,tn_512_732_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326316,0.136287
GemmTunableOp_Half_TN,tn_320_732_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326271,0.0902923
GemmTunableOp_Half_TN,tn_2560_732_160_ld_160_160_2560,Gemm_Rocblas_-1086326302,0.0421829
GemmTunableOp_Half_NN,nn_1_732_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0168474
GemmTunableOp_Half_TN,tn_10240_732_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326252,1.60832
GemmTunableOp_Half_TN,tn_2560_732_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326252,0.45218
GemmTunableOp_Half_TN,tn_3584_732_2560_ld_2560_2560_3584,Default,0.605031
GemmTunableOp_Half_TN,tn_640_732_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326267,0.149196
GemmTunableOp_Half_TN,tn_320_732_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326271,0.276366
GemmTunableOp_Half_TN,tn_336_804_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326317,0.410906
GemmTunableOp_Half_TN,tn_10240_804_320_ld_320_320_10240,Default,0.238004
GemmTunableOp_Half_TN,tn_4096_804_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326466,0.86119
GemmTunableOp_Half_TN,tn_24_804_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326391,0.0382773
GemmTunableOp_Half_TN,tn_2560_804_1536_ld_1536_1536_2560,Gemm_Rocblas_-1086326466,0.313632
GemmTunableOp_Half_TN,tn_512_804_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326316,0.142852
GemmTunableOp_Half_TN,tn_320_804_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326311,0.108954
GemmTunableOp_Half_TN,tn_2560_804_160_ld_160_160_2560,Gemm_Rocblas_-1086326240,0.044179
GemmTunableOp_Half_NN,nn_1_804_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0170442
GemmTunableOp_Half_TN,tn_10240_804_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326457,1.93378
GemmTunableOp_Half_TN,tn_2560_804_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326466,0.517685
GemmTunableOp_Half_TN,tn_3584_804_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326466,0.766377
GemmTunableOp_Half_TN,tn_640_804_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326287,0.155148
GemmTunableOp_Half_TN,tn_320_804_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326329,0.402742
GemmTunableOp_Half_TN,tn_336_876_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326317,0.422823
GemmTunableOp_Half_TN,tn_10240_876_320_ld_320_320_10240,Default,0.249714
GemmTunableOp_Half_TN,tn_4096_876_2560_ld_2560_2560_4096,Gemm_Rocblas_-1086326466,0.880311
GemmTunableOp_Half_TN,tn_24_876_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326394,0.0435242
GemmTunableOp_Half_TN,tn_2560_876_1536_ld_1536_1536_2560,Default,0.267234
GemmTunableOp_Half_TN,tn_512_876_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326287,0.146981
GemmTunableOp_Half_TN,tn_320_876_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326311,0.110957
GemmTunableOp_Half_TN,tn_2560_876_160_ld_160_160_2560,Gemm_Rocblas_-1086326260,0.0481635
GemmTunableOp_Half_NN,nn_1_876_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0189103
GemmTunableOp_Half_TN,tn_10240_876_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326234,1.9596
GemmTunableOp_Half_TN,tn_2560_876_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326466,0.526501
GemmTunableOp_Half_TN,tn_3584_876_2560_ld_2560_2560_3584,Gemm_Rocblas_-1086326466,0.806926
GemmTunableOp_Half_TN,tn_640_876_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326287,0.156807
GemmTunableOp_Half_TN,tn_320_876_10240_ld_10240_10240_320,Gemm_Rocblas_-1086326317,0.414583
GemmTunableOp_Half_TN,tn_336_952_10240_ld_10240_10240_336,Gemm_Rocblas_-1086326271,0.436764
GemmTunableOp_Half_TN,tn_10240_952_320_ld_320_320_10240,Default,0.2836
GemmTunableOp_Half_TN,tn_4096_952_2560_ld_2560_2560_4096,Default,0.948316
GemmTunableOp_Half_TN,tn_24_952_2560_ld_2560_2560_24,Gemm_Rocblas_-1086326391,0.0430682
GemmTunableOp_Half_TN,tn_2560_952_1536_ld_1536_1536_2560,Default,0.328756
GemmTunableOp_Half_TN,tn_512_952_2560_ld_2560_2560_512,Gemm_Rocblas_-1086326287,0.15124
GemmTunableOp_Half_TN,tn_320_952_2560_ld_2560_2560_320,Gemm_Rocblas_-1086326317,0.123614
GemmTunableOp_Half_TN,tn_2560_952_160_ld_160_160_2560,Default,0.0481151
GemmTunableOp_Half_NN,nn_1_952_2560_ld_1_2560_1,Gemm_Rocblas_-9,0.0191819
GemmTunableOp_Half_TN,tn_10240_952_2560_ld_2560_2560_10240,Gemm_Rocblas_-1086326236,2.18996
GemmTunableOp_Half_TN,tn_2560_952_2560_ld_2560_2560_2560,Gemm_Rocblas_-1086326466,0.629135
GemmTunableOp_Half_TN,tn_3584_952_2560_ld_2560_2560_3584,Default,0.75679
GemmTunableOp_Half_TN,tn_640_952_2560_ld_2560_2560_640,Gemm_Rocblas_-1086326271,0.202776
